Year,Age,Gender,Rate
1921,0,Female,64052.13
1921,1,Female,59619.24
1921,2,Female,57126.01
1921,3,Female,57483.85
1921,4,Female,58407.04
1921,5,Female,59219.89
1921,6,Female,60385.87
1921,7,Female,60179.49
1921,8,Female,58548.26
1921,9,Female,56918.64
1921,10,Female,55240.35
1921,11,Female,53512.73
1921,12,Female,52311.65
1921,13,Female,51539.86
1921,14,Female,50170.78
1921,15,Female,48695.61
1921,16,Female,47527.59
1921,17,Female,46182.77
1921,18,Female,45628.08
1921,19,Female,45909.47
1921,20,Female,46387.16
1921,21,Female,46436.69
1921,22,Female,45769.31
1921,23,Female,45746.2
1921,24,Female,46524.37
1921,25,Female,47056.2
1921,26,Female,47335.68
1921,27,Female,47592.16
1921,28,Female,47744.21
1921,29,Female,47422.85
1921,30,Female,46314.76
1921,31,Female,45239.17
1921,32,Female,44580.76
1921,33,Female,43609.4
1921,34,Female,42275.58
1921,35,Female,41148.39
1921,36,Female,39934.89
1921,37,Female,38195.8
1921,38,Female,36662.13
1921,39,Female,35874.88
1921,40,Female,35317.48
1921,41,Female,34170.71
1921,42,Female,32350.41
1921,43,Female,30669.29
1921,44,Female,29571.3
1921,45,Female,28843.77
1921,46,Female,28192.83
1921,47,Female,27472.92
1921,48,Female,26774.97
1921,49,Female,26259.47
1921,50,Female,25781.99
1921,51,Female,25082.94
1921,52,Female,24241.25
1921,53,Female,23223.83
1921,54,Female,22053.76
1921,55,Female,21255.58
1921,56,Female,20808.66
1921,57,Female,20306.79
1921,58,Female,19634.97
1921,59,Female,18766.86
1921,60,Female,17890.73
1921,61,Female,16867.48
1921,62,Female,15661.44
1921,63,Female,14713.77
1921,64,Female,13873.2
1921,65,Female,12693.16
1921,66,Female,11249.54
1921,67,Female,9806.94
1921,68,Female,8652.16
1921,69,Female,7929.97
1921,70,Female,7452.37
1921,71,Female,6972.8
1921,72,Female,6365.95
1921,73,Female,5842.52
1921,74,Female,5467.31
1921,75,Female,5052.33
1921,76,Female,4622.95
1921,77,Female,4198.23
1921,78,Female,3693.08
1921,79,Female,3211.86
1921,80,Female,3120.1
1921,81,Female,2691.11
1921,82,Female,2244.43
1921,83,Female,1892.59
1921,84,Female,1658.74
1921,85,Female,1424.71
1921,86,Female,1188.31
1921,87,Female,943.1
1921,88,Female,720.65
1921,89,Female,560.46
1921,90,Female,433.85
1921,91,Female,322.07
1921,92,Female,242.19
1921,93,Female,189.53
1921,94,Female,144.09
1921,95,Female,97.23
1921,96,Female,61.42
1921,97,Female,36.43
1921,98,Female,22.03
1921,99,Female,15.2
1921,100,Female,11.76
1921,101,Female,8.92
1921,102,Female,4.42
1921,103,Female,2.24
1921,104,Female,0.96
1921,105,Female,0
1921,106,Female,0
1921,107,Female,0
1921,108,Female,0
1921,109,Female,0
1921,110,Female,0
1922,0,Female,64732.42
1922,1,Female,62519.92
1922,2,Female,59168.13
1922,3,Female,56927.58
1922,4,Female,57369.63
1922,5,Female,58298.11
1922,6,Female,59145.13
1922,7,Female,60345.59
1922,8,Female,60182.1
1922,9,Female,58608.05
1922,10,Female,56957.16
1922,11,Female,55257.85
1922,12,Female,53582.52
1922,13,Female,52353.62
1922,14,Female,51553.53
1922,15,Female,50183.37
1922,16,Female,48729.67
1922,17,Female,47530.79
1922,18,Female,46155.83
1922,19,Female,45649.08
1922,20,Female,45924.34
1922,21,Female,46398.01
1922,22,Female,46478.18
1922,23,Female,45779.08
1922,24,Female,45747.26
1922,25,Female,46497.26
1922,26,Female,46998.82
1922,27,Female,47299.27
1922,28,Female,47524.04
1922,29,Female,47699.96
1922,30,Female,47378.59
1922,31,Female,46281.52
1922,32,Female,45204.03
1922,33,Female,44502.94
1922,34,Female,43531.01
1922,35,Female,42206.13
1922,36,Female,41053.87
1922,37,Female,39856.96
1922,38,Female,38083.59
1922,39,Female,36504.6
1922,40,Female,35751.77
1922,41,Female,35152.29
1922,42,Female,34031.47
1922,43,Female,32208.25
1922,44,Female,30530.45
1922,45,Female,29453.25
1922,46,Female,28702.27
1922,47,Female,28052.44
1922,48,Female,27352.89
1922,49,Female,26627.55
1922,50,Female,26101.33
1922,51,Female,25626.87
1922,52,Female,24928.36
1922,53,Female,24077.72
1922,54,Female,23054.81
1922,55,Female,21905.02
1922,56,Female,21101.06
1922,57,Female,20626.81
1922,58,Female,20127.69
1922,59,Female,19402.33
1922,60,Female,18528.16
1922,61,Female,17652.16
1922,62,Female,16628.52
1922,63,Female,15403.34
1922,64,Female,14451.23
1922,65,Female,13576.6
1922,66,Female,12378
1922,67,Female,10953.7
1922,68,Female,9528.45
1922,69,Female,8376.49
1922,70,Female,7674.82
1922,71,Female,7149.17
1922,72,Female,6699.52
1922,73,Female,6050.13
1922,74,Female,5548.96
1922,75,Female,5123.1
1922,76,Female,4723.51
1922,77,Female,4273.3
1922,78,Female,3873.33
1922,79,Female,3349.12
1922,80,Female,3198.31
1922,81,Female,2811
1922,82,Female,2420.4
1922,83,Female,1976.41
1922,84,Female,1641.8
1922,85,Female,1414.3
1922,86,Female,1196.1
1922,87,Female,979.58
1922,88,Female,768.72
1922,89,Female,589.09
1922,90,Female,453.23
1922,91,Female,346.41
1922,92,Female,259.32
1922,93,Female,187.43
1922,94,Female,147.24
1922,95,Female,110.38
1922,96,Female,71.53
1922,97,Female,42.95
1922,98,Female,23.45
1922,99,Female,15.29
1922,100,Female,11.92
1922,101,Female,8.73
1922,102,Female,5.44
1922,103,Female,2.98
1922,104,Female,1.72
1922,105,Female,0.48
1922,106,Female,0
1922,107,Female,0
1922,108,Female,0
1922,109,Female,0
1922,110,Female,0
1923,0,Female,64132.93
1923,1,Female,63411.85
1923,2,Female,62135.74
1923,3,Female,59042.27
1923,4,Female,56877.3
1923,5,Female,57344.26
1923,6,Female,58298.04
1923,7,Female,59195.07
1923,8,Female,60445.51
1923,9,Female,60356.8
1923,10,Female,58732.43
1923,11,Female,57082.35
1923,12,Female,55457.8
1923,13,Female,53707.27
1923,14,Female,52453.55
1923,15,Female,51653.51
1923,16,Female,50333.29
1923,17,Female,48829.57
1923,18,Female,47605.87
1923,19,Female,46280.56
1923,20,Female,45799.19
1923,21,Female,46074.25
1923,22,Female,46623.14
1923,23,Female,46678.5
1923,24,Female,45954.2
1923,25,Female,45847.22
1923,26,Female,46597.58
1923,27,Female,47123.93
1923,28,Female,47399.58
1923,29,Female,47649.09
1923,30,Female,47825.06
1923,31,Female,47478.47
1923,32,Female,46406.63
1923,33,Female,45279.05
1923,34,Female,44578.01
1923,35,Female,43605.92
1923,36,Female,42256.49
1923,37,Female,41128.94
1923,38,Female,39856.86
1923,39,Female,38008.83
1923,40,Female,36504.89
1923,41,Female,35626.85
1923,42,Female,35077.41
1923,43,Female,33931.34
1923,44,Female,32108.15
1923,45,Female,30505.56
1923,46,Female,29378.32
1923,47,Female,28627.38
1923,48,Female,28002.29
1923,49,Female,27252.74
1923,50,Female,26552.53
1923,51,Female,26001.18
1923,52,Female,25526.71
1923,53,Female,24828.17
1923,54,Female,23977.5
1923,55,Female,23004.58
1923,56,Female,21854.93
1923,57,Female,21000.86
1923,58,Female,20551.88
1923,59,Female,19952.74
1923,60,Female,19226.79
1923,61,Female,18327.96
1923,62,Female,17426.62
1923,63,Female,16402.75
1923,64,Female,15202.89
1923,65,Female,14200.18
1923,66,Female,13276.34
1923,67,Female,12077.61
1923,68,Female,10703.22
1923,69,Female,9227.76
1923,70,Female,8150.62
1923,71,Female,7374.88
1923,72,Female,6923.57
1923,73,Female,6373.97
1923,74,Female,5774.55
1923,75,Female,5223.16
1923,76,Female,4797.41
1923,77,Female,4348.12
1923,78,Female,3972.27
1923,79,Female,3497.77
1923,80,Female,3272.13
1923,81,Female,2865.83
1923,82,Female,2509.92
1923,83,Female,2117.85
1923,84,Female,1695.08
1923,85,Female,1378.53
1923,86,Female,1163.94
1923,87,Female,961.21
1923,88,Female,775.72
1923,89,Female,607.05
1923,90,Female,462.61
1923,91,Female,348.42
1923,92,Female,270.4
1923,93,Female,199.45
1923,94,Female,140.5
1923,95,Female,108.95
1923,96,Female,74.11
1923,97,Female,45.78
1923,98,Female,27.95
1923,99,Female,15.46
1923,100,Female,11.76
1923,101,Female,8.92
1923,102,Female,5.47
1923,103,Female,3.73
1923,104,Female,2.22
1923,105,Female,0.98
1923,106,Female,0.24
1923,107,Female,0
1923,108,Female,0
1923,109,Female,0
1923,110,Female,0
1924,0,Female,63682.81
1924,1,Female,62834.73
1924,2,Female,63125.56
1924,3,Female,62085.69
1924,4,Female,59042.3
1924,5,Female,56927.26
1924,6,Female,57369.47
1924,7,Female,58348.06
1924,8,Female,59320.29
1924,9,Female,60620.72
1924,10,Female,60506.87
1924,11,Female,58958.1
1924,12,Female,57282.3
1924,13,Female,55583.01
1924,14,Female,53832.45
1924,15,Female,52603.98
1924,16,Female,51828.72
1924,17,Female,50458.51
1924,18,Female,48979.97
1924,19,Female,47756.25
1924,20,Female,46481.27
1924,21,Female,45999.5
1924,22,Female,46374.66
1924,23,Female,46948.77
1924,24,Female,46928.93
1924,25,Female,46129.92
1924,26,Female,46047.67
1924,27,Female,46772.8
1924,28,Female,47324.31
1924,29,Female,47574.81
1924,30,Female,47799.16
1924,31,Female,47925.11
1924,32,Female,47628.49
1924,33,Female,46506.66
1924,34,Female,45379.12
1924,35,Female,44677.86
1924,36,Female,43705.92
1924,37,Female,42331.27
1924,38,Female,41128.97
1924,39,Female,39832.05
1924,40,Female,38058.89
1924,41,Female,36404.84
1924,42,Female,35576.88
1924,43,Female,34977.4
1924,44,Female,33831.36
1924,45,Female,32083.06
1924,46,Female,30455.58
1924,47,Female,29303.14
1924,48,Female,28552.21
1924,49,Female,27902.34
1924,50,Female,27177.45
1924,51,Female,26427.35
1924,52,Female,25901.2
1924,53,Female,25401.54
1924,54,Female,24677.79
1924,55,Female,23877.08
1924,56,Female,22904.22
1924,57,Female,21754.94
1924,58,Female,20950.76
1924,59,Female,20376.71
1924,60,Female,19802.38
1924,61,Female,19001.74
1924,62,Female,18052.76
1924,63,Female,17151.41
1924,64,Female,16152.49
1924,65,Female,14927
1924,66,Female,13875.33
1924,67,Female,12976.34
1924,68,Female,11777.14
1924,69,Female,10328.2
1924,70,Female,8927.08
1924,71,Female,7850.82
