Year,Age,Gender,Rate
1921,0,Female,0.059987
1921,1,Female,0.012064
1921,2,Female,0.005779
1921,3,Female,0.002889
1921,4,Female,0.003254
1921,5,Female,0.002517
1921,6,Female,0.002485
1921,7,Female,0.001812
1921,8,Female,0.001384
1921,9,Female,0.001371
1921,10,Female,0.001249
1921,11,Female,0.001159
1921,12,Female,0.001128
1921,13,Female,0.001417
1921,14,Female,0.001435
1921,15,Female,0.001602
1921,16,Female,0.00181
1921,17,Female,0.002166
1921,18,Female,0.002477
1921,19,Female,0.002201
1921,20,Female,0.002976
1921,21,Female,0.002542
1921,22,Female,0.002535
1921,23,Female,0.003258
1921,24,Female,0.003139
1921,25,Female,0.003529
1921,26,Female,0.003423
1921,27,Female,0.003973
1921,28,Female,0.003834
1921,29,Female,0.004092
1921,30,Female,0.003953
1921,31,Female,0.003273
1921,32,Female,0.00442
1921,33,Female,0.004886
1921,34,Female,0.004756
1921,35,Female,0.004376
1921,36,Female,0.004985
1921,37,Female,0.005552
1921,38,Female,0.006494
1921,39,Female,0.005438
1921,40,Female,0.005608
1921,41,Female,0.00483
1921,42,Female,0.005875
1921,43,Female,0.005871
1921,44,Female,0.006021
1921,45,Female,0.006728
1921,46,Female,0.006174
1921,47,Female,0.006845
1921,48,Female,0.007173
1921,49,Female,0.007581
1921,50,Female,0.009118
1921,51,Female,0.007378
1921,52,Female,0.009821
1921,53,Female,0.009175
1921,54,Female,0.011884
1921,55,Female,0.011342
1921,56,Female,0.013124
1921,57,Female,0.012463
1921,58,Female,0.013756
1921,59,Female,0.013752
1921,60,Female,0.016831
1921,61,Female,0.015182
1921,62,Female,0.019226
1921,63,Female,0.022639
1921,64,Female,0.02293
1921,65,Female,0.02916
1921,66,Female,0.025788
1921,67,Female,0.029989
1921,68,Female,0.037229
1921,69,Female,0.03532
1921,70,Female,0.046042
1921,71,Female,0.038735
1921,72,Female,0.05107
1921,73,Female,0.058215
1921,74,Female,0.061295
